id;created_at;expiration_date;medical_profile_done;body_composition_done;nutrition_done;fitness_done;paid;seen_by_client;seen_by_specialist;designed
1;2020-10-14;2020-10-14;false;true;false;true;false;true;false;false
2;2020-10-13;2020-10-13;true;false;false;true;true;false;false;false
3;2020-10-13;2020-10-13;false;true;false;true;true;true;true;false
4;2020-10-13;2020-10-13;true;false;true;false;false;true;false;true
5;2020-10-13;2020-10-14;true;false;true;true;false;true;false;false
6;2020-10-14;2020-10-14;false;true;true;false;false;true;false;false
7;2020-10-13;2020-10-13;false;true;false;false;true;true;true;true
8;2020-10-14;2020-10-14;false;true;true;true;true;true;true;false
9;2020-10-13;2020-10-13;true;true;false;false;false;false;true;true
10;2020-10-14;2020-10-13;false;false;true;true;true;true;false;true
